关卡,花朵数,花瓶数,倒计时秒,倒计时
1,6,3,120,2:00
2,18,7,120,2:00
3,21,7,120,2:00
4,24,7,120,2:00
5,27,7,150,2:30
6,30,8,150,2:30
7,33,8,150,2:30
8,36,8,150,2:30
9,39,8,150,2:30
10,42,8,180,3:00
11,51,8,180,3:00
12,54,8,180,3:00
13,57,8,180,3:00
14,60,8,180,3:00
15,63,8,210,3:30
16,66,9,210,3:30
17,69,9,210,3:30
18,72,9,210,3:30
19,75,9,210,3:30
20,78,9,240,4:00
21,81,9,240,4:00
22,84,9,240,4:00
23,87,9,240,4:00
24,90,9,240,4:00
25,93,9,270,4:30
26,96,9,270,4:30
27,99,9,270,4:30
28,102,9,270,4:30
29,105,9,270,4:30
30,108,9,300,5:00
31,111,9,300,5:00
32,114,9,300,5:00
33,117,9,300,5:00
34,120,9,300,5:00
35,123,9,330,5:30
36,126,9,330,5:30
37,129,9,330,5:30
38,132,9,330,5:30
39,135,9,330,5:30
40,138,9,360,6:00
41,141,9,360,6:00
42,144,9,360,6:00
43,147,9,360,6:00
44,150,9,360,6:00
45,153,9,390,6:30
46,156,9,390,6:30
47,159,9,420,7:00
48,162,9,420,7:00
49,165,9,420,7:00
50,168,9,450,7:30
51,171,9,450,7:30
52,174,9,450,7:30
53,177,9,450,7:30
54,180,9,450,7:30
55,183,9,480,8:00
56,186,9,480,8:00
57,189,9,510,8:30
58,192,9,510,8:30
59,195,9,510,8:30
60,198,9,540,9:00
